solution_id,distance,max_workload,relocated_offices
229,103.56395980541879,1.81,4
230,103.56395980541879,1.8,4
231,103.56395980541879,1.79,4
232,103.56395980541879,1.78,4
233,103.56395980541879,1.77,4
234,103.56395980541879,1.76,4
235,103.56395980541879,1.75,4
236,103.56395980541879,1.74,4
237,103.56395980541879,1.73,4
238,103.56395980541879,1.72,4
239,103.56395980541879,1.71,4
240,103.56395980541879,1.7,4
241,103.56395980541879,1.69,4
242,103.56395980541879,1.68,4
243,103.56395980541879,1.67,4
244,103.56395980541879,1.66,4
245,103.56395980541879,1.65,4
246,103.56395980541879,1.64,4
247,103.56395980541879,1.63,4
248,103.56395980541879,1.6199999999999999,4
249,103.56395980541879,1.6099999999999999,4
250,103.56395980541879,1.6,4
251,103.56395980541879,1.59,4
252,103.56395980541879,1.58,4
253,103.56395980541879,1.57,4
254,103.56395980541876,1.56,4
255,103.56395980541876,1.55,4
256,103.56395980541876,1.54,4
257,103.56395980541876,1.53,4
258,103.56395980541876,1.52,4
259,103.56395980541876,1.51,4
260,103.56395980541876,1.5,4
261,103.56395980541876,1.49,4
262,103.56395980541876,1.48,4
263,103.56395980541876,1.47,4
264,103.56395980541876,1.46,4
265,103.56395980541876,1.45,4
266,103.56395980541876,1.44,4
267,103.56395980541876,1.43,4
268,103.56395980541876,1.42,4
269,103.56395980541876,1.41,4
270,103.56395980541876,1.4,4
271,103.56395980541876,1.39,4
272,103.56395980541876,1.38,4
273,103.56395980541876,1.3699999999999999,4
274,103.56395980541876,1.3599999999999999,4
275,103.56395980541876,1.35,4
276,103.56395980541876,1.34,4
277,103.56395980541876,1.33,4
278,103.56395980541876,1.32,4
279,103.56395980541876,1.31,4
280,103.56395980541876,1.3,4
281,103.56395980541876,1.29,4
282,103.56395980541876,1.28,4
283,103.56395980541876,1.27,4
284,103.56395980541876,1.26,4
285,103.56395980541876,1.25,4
286,103.56395980541876,1.24,4
287,103.56395980541876,1.23,4
288,103.56395980541876,1.22,4
289,103.56395980541876,1.21,4
290,103.56395980541876,1.2,4
291,103.56395980541878,1.19,4
292,103.56395980541876,1.18,4
293,103.56395980541879,1.17,4
294,103.56395980541876,1.16,4
295,103.56395980541878,1.15,4
296,103.56395980541879,1.14,4
297,105.05653000684548,1.13,4
298,105.05653000684548,1.1199999999999999,4
299,106.5978554439169,1.1099999999999999,4
300,106.59785544391688,1.1,4
301,106.59785544391688,1.09,4
302,109.33253982154089,1.08,4
303,109.3325398215409,1.07,4
304,109.3325398215409,1.06,4
305,109.33253982154089,1.05,4
306,110.97119752528224,1.04,4
307,110.97119752528228,1.03,4
308,110.97119752528225,1.02,4
309,110.97119752528228,1.01,4
